time amount src dst successes fails acceptRatio averageImbalance averagePathLength averageFee feesPaid minFunds maxFunds
1.41031 1933674187 107 56 1 0 1 0.104842 19 2.45504e+08 2.45504e+08 1000025062 2073267055
7.54721 1762834616 163 74 2 0 1 0.104366 18.5 2.2808e+08 4.56159e+08 143719348 2073267055
10.0185 1305390239 104 155 3 0 1 0.103056 17 1.69155e+08 5.07465e+08 143719348 2073267055
21.3774 1406757384 44 11 4 0 1 0.10245 20.5 1.665e+08 6.65999e+08 143719348 2073267055
48.664 1351186167 10 95 5 0 1 0.102278 17.2 1.44911e+08 7.24557e+08 143719348 2073267055
55.9915 1250928831 91 103 6 0 1 0.102293 17.6667 1.36971e+08 8.21825e+08 143719348 2073267055
56.3433 1576231114 139 115 7 0 1 0.10096 15.5714 1.23152e+08 8.62062e+08 143719348 2073267055
63.8872 1420112170 136 66 8 0 1 0.100324 14.125 1.17715e+08 9.4172e+08 143719348 2073267055
63.9645 1496762208 115 147 9 0 1 0.0998573 14.6667 1.23748e+08 1.11373e+09 143719348 2073267055
64.6563 1352744014 135 107 10 0 1 0.100052 14.6 1.21361e+08 1.21361e+09 143719348 2073267055
76.2645 1444514708 70 122 11 0 1 0.0995676 14.0909 1.292e+08 1.4212e+09 143719348 2073267055
102.92 1432808184 121 25 12 0 1 0.0993253 14.5 1.27678e+08 1.53213e+09 143719348 2073267055
