time amount src dst successes fails acceptRatio averageImbalance averagePathLength averageFee feesPaid minFunds maxFunds
1.41031 1933674187 107 56 1 0 1 0.104842 19 2.45504e+08 2.45504e+08 1000025062 2073267055
7.54721 1762834616 163 74 2 0 1 0.104842 18.5 2.2808e+08 4.56159e+08 1000025062 2073267055
10.0185 1305390239 104 155 3 0 1 0.104842 17 1.69155e+08 5.07465e+08 1000025062 2073267055
21.3774 1406757384 44 11 4 0 1 0.104842 20.25 1.65219e+08 6.60875e+08 1000025062 2073267055
48.664 1351186167 10 95 5 0 1 0.104836 17 1.43887e+08 7.19434e+08 143719348 2073267055
55.9915 1250928831 91 103 6 0 1 0.105059 17.5 1.36117e+08 8.16701e+08 143719348 2073267055
56.3433 1576231114 139 115 7 0 1 0.105059 15.4286 1.2242e+08 8.56938e+08 143719348 2073267055
63.8872 1420112170 136 66 8 0 1 0.104977 14 1.17075e+08 9.36596e+08 143719348 2073267055
63.9645 1496762208 115 147 9 0 1 0.104977 13.3333 1.28215e+08 1.15394e+09 143719348 2073267055
64.6563 1352744014 135 107 10 0 1 0.104977 13.4 1.25382e+08 1.25382e+09 143719348 2073267055
76.2645 1444514708 70 122 11 0 1 0.105275 13 1.32856e+08 1.46142e+09 143719348 2073267055
102.92 1432808184 121 25 12 0 1 0.104437 14.1667 1.33325e+08 1.59991e+09 143719348 2073267055
110.405 1351475049 162 179 13 0 1 0.103699 14.4615 1.28377e+08 1.66891e+09 143719348 2073267055
121.016 1026956732 48 152 14 0 1 0.102985 14.7857 1.23211e+08 1.72495e+09 143719348 2073267055
133.095 2094542244 23 41 15 0 1 0.102783 14.2667 1.29837e+08 1.94756e+09 143719348 2073267055
147.458 1327033956 22 109 16 0 1 0.101441 13.75 1.2787e+08 2.04592e+09 143719348 2073267055
147.945 1420781742 16 137 17 0 1 0.101441 13.7059 1.26874e+08 2.15685e+09 143719348 2073267055
151.923 1123026770 75 167 18 0 1 0.101595 13.2778 1.25931e+08 2.26677e+09 143719348 2073267055
166.046 1273579456 71 153 19 0 1 0.101248 13.2632 1.23442e+08 2.34539e+09 143719348 2073267055
170.592 1744176286 99 149 20 0 1 0.100348 12.85 1.27294e+08 2.54587e+09 143719348 2073267055
211.077 1464220943 46 44 21 0 1 0.0996215 12.4286 1.25236e+08 2.62996e+09 44941514 2073267055
225.075 1514019362 112 130 22 0 1 0.0991085 11.9545 1.21102e+08 2.66424e+09 44941514 2073267055
225.829 1108384620 130 33 23 0 1 0.0991085 11.6087 1.18467e+08 2.72474e+09 44941514 2073267055
247.432 1310986168 148 31 24 0 1 0.0981209 11.2083 1.14077e+08 2.73785e+09 44941514 2073267055
253.166 1621175034 96 124 25 0 1 0.0978321 11.72 1.16433e+08 2.91083e+09 44941514 2073267055
259.662 1543703121 182 3 25 1 0.961538 0.0974423 12.2912 1.1725e+08 3.04769e+09 44941514 2073267055
262.877 1469708905 88 103 26 1 0.962963 0.0973938 11.9723 1.16976e+08 3.15782e+09 44941514 2073267055
264.698 1515058593 154 13 27 1 0.964286 0.0973938 12.5659 1.18764e+08 3.32306e+09 44941514 2073267055
287.492 1283682963 74 187 27 2 0.931034 0.0992378 12.545 1.17244e+08 3.40079e+09 44941514 2073267055
288.117 1660136919 192 50 27 3 0.9 0.0992378 12.545 1.17244e+08 3.40079e+09 44941514 2073267055
295.139 1418785321 84 65 28 3 0.903226 0.0997044 12.4898 1.16545e+08 3.49846e+09 44941514 2073267055
298.982 1256046039 142 115 29 3 0.90625 0.0997044 13.335 1.23446e+08 3.81513e+09 44941514 2073267055
305.794 1739671930 77 187 30 3 0.909091 0.100254 13.4905 1.23043e+08 3.9265e+09 44941514 2073267055
306.745 1809794883 121 72 31 3 0.911765 0.100254 13.1521 1.21523e+08 4.0024e+09 44941514 2073267055
307.511 1026714639 16 84 32 3 0.914286 0.100254 12.8036 1.18046e+08 4.01267e+09 44941514 2073267055
312.358 1418078216 94 57 33 3 0.916667 0.100325 12.5974 1.19228e+08 4.16972e+09 44941514 2073267055
336.871 1543327982 133 172 33 4 0.891892 0.100325 12.3369 1.18199e+08 4.25499e+09 44941514 2073267055
343.116 1052156616 48 142 34 4 0.894737 0.100521 12.474 1.17743e+08 4.3577e+09 44941514 2073267055
343.629 1269833398 46 159 35 4 0.897436 0.100521 12.8319 1.19978e+08 4.55364e+09 44941514 2073267055
358.335 829710919 98 0 35 5 0.875 0.0999143 12.751 1.19322e+08 4.65067e+09 44941514 2073267055
359.675 1187731663 192 26 36 5 0.878049 0.0999143 12.7579 1.18184e+08 4.72903e+09 44941514 2073267055
371.337 1664211911 159 189 37 5 0.880952 0.0996325 12.8185 1.17432e+08 4.81939e+09 44941514 2073267055
381.267 1009708222 58 101 38 5 0.883721 0.0996703 12.9022 1.15742e+08 4.8726e+09 44941514 2073267055
394.192 1840778524 165 166 39 5 0.886364 0.099122 12.7509 1.19195e+08 5.12299e+09 44941514 2073267055
416.135 1836480002 9 8 39 6 0.866667 0.099122 12.7509 1.19195e+08 5.12299e+09 44941514 2073267055
419.793 1064431351 30 153 40 6 0.869565 0.0996803 12.5321 1.17418e+08 5.17111e+09 44941514 2026227700
426.993 1044421894 40 17 41 6 0.87234 0.0999323 12.9094 1.17834e+08 5.30559e+09 44941514 2026227700
445.7 1531465514 139 141 42 6 0.875 0.0994645 12.6496 1.15843e+08 5.33982e+09 44941514 2026227700
464.121 1284197274 40 46 43 6 0.877551 0.0988702 12.8438 1.15038e+08 5.42104e+09 44941514 2026227700
469.489 1077347391 87 93 44 6 0.88 0.0989825 12.5747 1.12423e+08 5.42104e+09 44941514 2026227700
475.799 1524858588 164 65 45 6 0.882353 0.0981486 13.1174 1.15286e+08 5.66229e+09 44941514 2026227700
477.763 1372878840 46 107 46 6 0.884615 0.0981486 13.1801 1.15912e+08 5.80637e+09 44941514 2026227700
486.241 1628189350 170 173 46 7 0.867925 0.0982665 13.0675 1.17342e+08 5.98804e+09 44941514 2026227700
486.577 1473528330 62 29 47 7 0.87037 0.0982665 13.0873 1.16568e+08 6.069e+09 44941514 2026227700
493.478 1677592735 138 163 48 7 0.872727 0.0975383 12.9188 1.17304e+08 6.2209e+09 44941514 2026227700
507.273 1557368556 108 114 49 7 0.875 0.0972152 12.8593 1.16956e+08 6.32118e+09 44941514 2026227700
529.413 1287308476 103 4 50 7 0.877193 0.097718 12.7421 1.17953e+08 6.48799e+09 44941514 2026227700
547.867 1417558204 112 171 51 7 0.87931 0.0972143 12.5707 1.1691e+08 6.55273e+09 44941514 2026227700
550.259 1859771141 4 38 52 7 0.881356 0.0971104 12.4443 1.18923e+08 6.77431e+09 44941514 2026227700
551.657 1816380414 134 69 53 7 0.883333 0.0971104 12.6057 1.22773e+08 7.09729e+09 44941514 2026227700
554.867 1386489421 76 117 54 7 0.885246 0.0971104 12.8168 1.24166e+08 7.29526e+09 44941514 2026227700
560.217 1353479047 33 5 55 7 0.887097 0.096189 12.6019 1.21908e+08 7.29526e+09 44941514 2026227700
572.589 1463710070 117 185 56 7 0.888889 0.0967875 12.4662 1.21756e+08 7.40863e+09 44941514 2026227700
575.332 1522524222 185 86 57 7 0.890625 0.0974922 12.7387 1.22748e+08 7.58692e+09 44941514 2026227700
579.153 1606580927 144 103 58 7 0.892308 0.0974922 13.0363 1.24659e+08 7.82053e+09 44941514 2026227700
589.71 1847367067 98 32 59 7 0.893939 0.0971083 13.1374 1.26293e+08 8.04158e+09 44941514 2026227700
601.146 1815416713 139 133 59 8 0.880597 0.0973076 13.4062 1.28135e+08 8.27659e+09 44941514 2026227700
606.052 2246309067 19 109 60 8 0.882353 0.0975708 13.2661 1.29933e+08 8.51261e+09 44941514 2026227700
607.648 1736102730 117 88 61 8 0.884058 0.0975708 13.4257 1.30886e+08 8.70066e+09 44941514 2026227700
626.329 2054004666 30 100 62 8 0.885714 0.0986254 13.2737 1.31356e+08 8.86068e+09 44941514 2026227700
657.431 1507159407 64 7 62 9 0.873239 0.0992881 13.4305 1.31241e+08 8.98488e+09 44941514 2073267055
659.035 1348026509 49 21 63 9 0.875 0.0992881 13.4078 1.30798e+08 9.08824e+09 44941514 2073267055
664.29 2144671164 187 154 63 10 0.863014 0.0994595 13.3061 1.30157e+08 9.17863e+09 44941514 2073267055
672.612 1800717909 102 97 64 10 0.864865 0.101514 13.567 1.31609e+08 9.40177e+09 44941514 2073267055
679.316 1461476482 95 142 65 10 0.866667 0.101628 13.4198 1.30668e+08 9.47219e+09 44941514 2073267055
711.783 2077086594 106 55 65 11 0.855263 0.100738 13.8287 1.34356e+08 9.84258e+09 16027600 2073267055
714.011 1574252181 187 47 66 11 0.857143 0.100738 13.7252 1.34955e+08 1.00165e+10 16027600 2073267055
723.934 964479945 82 119 67 11 0.858974 0.101996 13.595 1.33843e+08 1.00769e+10 16027600 2073267055
734.468 1595085154 50 130 67 12 0.848101 0.101797 13.616 1.38017e+08 1.04904e+10 16027600 2073267055
750.717 1435804788 0 187 68 12 0.85 0.102036 13.4746 1.36933e+08 1.05547e+10 16027600 2073267055
757.188 1611950856 87 21 69 12 0.851852 0.102795 13.6996 1.37725e+08 1.07463e+10 16027600 2073267055
759.46 1291520667 153 19 70 12 0.853659 0.102795 13.861 1.37316e+08 1.08554e+10 16027600 2073267055
782.655 1866137719 67 66 70 12 0.853659 0.102795 13.861 1.37316e+08 1.08554e+10 16027600 2073267055
784.186 1279108153 11 114 71 12 0.855422 0.102514 13.8771 1.37343e+08 1.09946e+10 16027600 2073267055
789.468 1921656217 32 31 72 12 0.857143 0.102296 13.8371 1.37795e+08 1.11645e+10 16027600 2073267055
811.153 1488716755 11 29 72 13 0.847059 0.10427 14.0338 1.38268e+08 1.13364e+10 16027600 2073267055
812.923 1138414135 82 130 73 13 0.848837 0.10427 13.869 1.36812e+08 1.13683e+10 16027600 2073267055
817.469 930969289 61 12 74 13 0.850575 0.104062 13.9788 1.35854e+08 1.14343e+10 16027600 2073267055
818.921 964864824 173 117 75 13 0.852273 0.104062 13.8458 1.34474e+08 1.14666e+10 16027600 2073267055
824.996 1553356115 77 162 76 13 0.853933 0.10411 13.6768 1.32705e+08 1.14666e+10 16027600 2073267055
831.016 1535855799 149 176 77 13 0.855556 0.104064 13.681 1.32e+08 1.15451e+10 16027600 2073267055
857.851 1697488716 67 37 77 13 0.855556 0.104064 13.681 1.32e+08 1.15451e+10 16027600 2073267055
860.275 1392022014 142 175 77 14 0.846154 0.103494 13.815 1.33428e+08 1.17871e+10 16027600 2073267055
884.235 1555342468 71 17 78 14 0.847826 0.102838 13.9712 1.34254e+08 1.19849e+10 16027600 2073267055
903.958 2027800989 112 162 79 14 0.849462 0.102971 13.9589 1.35114e+08 1.21871e+10 16027600 2073267055
911.009 1248616126 175 153 79 15 0.840426 0.103125 13.8202 1.34141e+08 1.22453e+10 16027600 2073267055
928.023 1490160280 22 75 79 16 0.831579 0.103091 13.7085 1.32867e+08 1.22788e+10 16027600 2073267055
934.226 1788387809 76 137 80 16 0.833333 0.10326 13.6997 1.33239e+08 1.24414e+10 16027600 2073267055
944.243 1487124201 141 47 81 16 0.835052 0.103548 13.5676 1.3221e+08 1.24914e+10 16027600 2073267055
961.656 1256308230 78 195 82 16 0.836735 0.102931 13.4509 1.31854e+08 1.25944e+10 16027600 2073267055
973.769 1178019500 171 158 82 17 0.828283 0.102974 13.3113 1.3048e+08 1.26136e+10 16027600 2073267055
1004.65 1924001089 85 14 83 17 0.83 0.103661 13.2111 1.30754e+08 1.27668e+10 16027600 2073267055
1008.07 1476380935 148 186 83 18 0.821782 0.103232 13.4254 1.31253e+08 1.29389e+10 16027600 2073267055
1015.29 388407466 60 29 84 18 0.823529 0.102994 13.3132 1.29925e+08 1.29586e+10 16027600 2073267055
1020.64 1450044715 47 192 85 18 0.825243 0.103393 13.3684 1.29724e+08 1.30715e+10 16027600 2073267055
1041.56 1271677739 166 39 86 18 0.826923 0.103387 13.2711 1.29592e+08 1.31898e+10 16027600 2073267055
1054.64 1599300485 88 117 87 18 0.828571 0.103373 13.2105 1.30822e+08 1.34265e+10 16027600 2073267055
1067.22 1101517723 86 73 87 19 0.820755 0.104352 13.2885 1.30834e+08 1.35583e+10 16027600 2073267055
1079.48 1176597312 134 199 87 20 0.813084 0.103979 13.2047 1.30229e+08 1.36365e+10 16027600 2073267055
1079.67 1592203897 139 80 88 20 0.814815 0.103979 13.0888 1.29574e+08 1.37091e+10 16027600 2073267055
1087.11 1365307544 1 95 89 20 0.816514 0.103579 13.1664 1.29053e+08 1.37923e+10 16027600 2073267055
1087.79 1842248067 127 129 90 20 0.818182 0.103579 13.0535 1.28681e+08 1.38879e+10 16027600 2073267055
1094.5 1334498064 77 66 91 20 0.81982 0.104075 12.954 1.27414e+08 1.39013e+10 16027600 2073267055
1105.96 1847723247 138 28 92 20 0.821429 0.103651 12.9871 1.27563e+08 1.40424e+10 16027600 2073267055
1130.8 1128093307 28 120 93 20 0.823009 0.104319 12.869 1.26517e+08 1.40727e+10 44941514 2073267055
1152.88 1834887278 1 184 93 21 0.815789 0.104079 12.7628 1.26342e+08 1.41829e+10 44941514 2073267055
1154.38 982039445 58 166 94 21 0.817391 0.104079 12.6803 1.25477e+08 1.4228e+10 44941514 2073267055
1199.81 1536302946 24 126 95 21 0.818966 0.105512 12.8099 1.25425e+08 1.43485e+10 44941514 2073267055
1205.72 1139571927 151 133 95 22 0.811966 0.105453 13.0856 1.25791e+08 1.45087e+10 44941514 2073267055
1212.94 1456058535 2 158 96 22 0.813559 0.105608 13.0743 1.25749e+08 1.46305e+10 44941514 2073267055
1218.74 1201810621 102 143 97 22 0.815126 0.10549 13.4447 1.26812e+08 1.48593e+10 44941514 2073267055
1235.17 1148690223 168 46 98 22 0.816667 0.105717 13.3585 1.25695e+08 1.48766e+10 44941514 2073267055
1237.55 1302848774 40 113 99 22 0.818182 0.105717 13.365 1.25734e+08 1.50062e+10 44941514 2073267055
1239.21 1441411744 166 84 100 22 0.819672 0.105717 13.3413 1.25436e+08 1.51021e+10 44941514 2073267055
1248.8 1217767989 186 117 101 22 0.821138 0.105034 13.3281 1.25027e+08 1.51863e+10 44941514 2073267055
1248.8 1090033035 73 92 102 22 0.822581 0.105034 13.315 1.245e+08 1.52575e+10 44941514 2073267055
1261.8 1808898066 26 20 103 22 0.824 0.104796 13.3897 1.25873e+08 1.55234e+10 44941514 2073267055
1267.21 1581367490 133 166 104 22 0.825397 0.10469 13.4917 1.27346e+08 1.58025e+10 44941514 2073267055
1278.62 1531661070 55 143 105 22 0.826772 0.10518 13.4013 1.27295e+08 1.59245e+10 44941514 2073267055
1296.72 1081024530 118 167 106 22 0.828125 0.104762 13.3975 1.28319e+08 1.61604e+10 44941514 2073267055
1314.37 1867980293 69 106 107 22 0.829457 0.103203 13.3003 1.27716e+08 1.62242e+10 44941514 2073267055
1315.22 1911360127 132 64 108 22 0.830769 0.102727 13.2142 1.27943e+08 1.63764e+10 44941514 2073267055
